Keyword Deutsch;Keyword Übersetzung;Keyword Englisch;;
Collembolen ;Springschwänze;Springtails;;Anmerkung:  alles ok bei den bodenbiologischen Parametern, nach Rücksprache mit Glante am 12.3.2013 _ MA
Anneliden;Ringelwürmer;Earthworms;;
Bodenbakterien ;;soil bacteria;;
Bodenpilze ;;soil fungi;;
mikrobielle Aktivität ;;microbial activity;;
mikrobielle Diversität;;microbial diversity;;
Nematoden;;Nematodes;;
Regenwurmaktivität ;;Earthworm activity;;
Katalaseaktivität;;catalase activity;;
Mineralisation;;mineralisation;;
Streuabbau ;;litter decompostion;;
Fauna ;;fauna;;
Protease-Aktivität;;protease-activity;;