Zeile;Keyword Deutsch;Keyword Abkürzung;Keyword Englisch;ignore;Parent Zeile;;;;
74; alpha-1,2,3,4,5,6-Hexachlorcyclohexan;_-HCH;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55";55;;;;
81; Benzo[ghi]fluoranthen,;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
1;Acenaphthen;;Acenaphthene;;;;;;
2;Acenaphthylen;;Acenaphthylene;;;;;;
3;Aldrin;;Aldrin;Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55;55;;;;
4;Anthanthren;;Anthanthrene;Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63;62;;;;
5;Anthracen;;Anthracene;Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63;62;;;;
6;Aromatische Alkohole;;;;;;;;
7;Aromatische Amine;;;;;;;;
8;Atrazin;;Atrazine;;;;;;
10;Benzo[a]pyren;;;ergänzt aus den Steckbriefen, Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63;62;;;;
79;Benzo[b,j,k]fluoranthen,;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
80;Benzo[b]naphto[2,1-d]thiophen;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
83;Benzo[c]phenanthren;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
82;Benzo[e]pyren;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
84;Benzo[ghi]perle;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
75;beta-1,2,3,4,5,6-Hexachlorcyclohexan ;_-HCH;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55";55;;;;
9;Bisphenol A;;;;;;;;
14;CAL-Extrakt;;;geändert, BB;;;;;
17;Chrysen;;Chrysene;ergänzt aus den bodenchem.Parametern anorg. BB, Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63;62;;;;
18;Coronen;;Coronene;Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63;62;;;;
85;Dibenz[a,h]antrace;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
69;Dichlordiphenyldichlorethan;DDD;Dichlordiphenyldichlorethane;"bearbeitet von BB + MA; Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55";55;;;;
70;Dichlordiphenyldichlorethen;DDE;Dichlorodiphenyldichloroethylene;"bearbeitet von BB+ MA; Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55";55;;;;
71;Dichlordiphenyltrichlorethan;DDT;Dichlorodiphenyltrichloroethane;"bearbeitet von BB+ MA; Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55";55;;;;
19;Dieldrin;;Dieldrin;Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55;55;;;;
21;Endrin;;Endrin;;;;;;
22;Flouranthen;;Flouranthe;Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63;62;;;;
23;Fluoren;;flourines;;;;;;
76;gamma-1,2,3,4,5,6-Hexachlorcyclohexan;_-HCH;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55";55;;;;
24;gelöster organischer Kohlenstoff;DOC;Dissolved Organic Carbon ;;;;;;
28;gesamter organischer Kohlenstoff;TOC;Total Organic Carbon;;;;;;
29;gesamter organischer Stickstoff;TON;Total Organic Nitrogen;;;;;;
26;Gesamtkohlenstoffgehalt;;;;;;;;
31;Heptachlor;HC;Heptachlor;Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55;55;;;;
77;Heptachlorepoxid;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55";55;;;;
32;Hexachlorbenzol;HCB;Hexachlorobenzene;Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55;55;;;;
86;Indeno[1,2,3-cd]pyren;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
33;Kohlenstoff;C;Carbon;;;;;;
38;Molybdän;;Molybdenum;gestrichen, BB;;;;;
42;Naphthalin;;Naphthalene;Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63;62;;;;
43;Nitroaromaten;;nitroaromatic;;;;;;
44;Nonylphenol;;Nonylphenol;;;;;;
46;Octachlorstyrol;OCS;Octachlorstyrene;Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55;55;;;;
47;organische Bodensubstanz;SOM;soil organic mattter;;;;;;
48;organische Spurenstoffe;;organic trace substances;;;;;;
50;organischer Kohlenstoff;OC;organic Carbon;;;;;;
51;organischer Schadstoffgehalt;;organic pollutant content;;;;;;
53;organischer Stickstoff;ON;Organic Nitrogen;;;;;;
54;Organochlorverbindungen ;;Organochloride compounds;"Vorschlag: Querverweis bei der Recherche auf: Aldrin, Dieldrin, _-HCH, _-HCH, _-HCH, HCB,
Heptachlor, Heptachlorepoxid, Octachlorstyrol, DDT, DDD, DDE, Polychlorierte Biphenyle,  Pentachlorbenzol";;;;;
55;Pentachlorbenzol;;Pentachlorobenzene;Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55;55;;;;
56;Phenanthren;;Phenanthrene;Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63;63;;;;
57;Phenole;;Phenols;;;;;;
58;Phthalate;;Phthalate;;;;;;
59;Polychlorierte Biphenyle;PCB;Polychlorinated biphenyl;Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55;55;;;;
60;Polychlorierte dibenzodioxins;PCDD;Polychlorinated dibenzodioxins;;;;;;
61;Polychlorierte dibenzofurane;PCDF;Polychlorinated dibenzofurane;;;;;;
62;Polycyclische aromatische Kohlenwasserstoffe ;PAK;Polycyclic Aromatic Hydrocarbons;"Vorschlag: Querverweis bei der Recherche von den  Polycyclischen aromatischen Kohlenwasserstoffen auf:  Anthanthren, Anthracen,
Benz[a]antrace, Benzo[a]pyren, Benzo[b,j,k]fluoranthen,
Benzo[b]naphto[2,1-d]thiophen, Benzo[e]pyren, Benzo[ghi]fluoranthen,
Benzo[c]phenanthren, Benzo[ghi]perle, Chrysen + Triphenylen, Coronen,
Dibenz[a,h]antrace, Fluoranthen, Indeno[1,2,3-cd]pyren, Phenanthren,
Pyren";;;;;
63;Propazin;;Propazine;;;;;;
64;Pyren;;Pyrene;Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63;;;;;
67;Triazine;;Triazine;;;;;;
68;Triphenylen;;Triphenylen;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;